IBP,MW,T,P,Density
221.7,530.8,170,13.88,934.5
221.7,530.8,160,13.88,938
221.7,530.8,150,13.88,942.2
221.7,530.8,140,13.88,947.5
221.7,530.8,130,13.88,952.6
221.7,530.8,120,13.88,957.7
221.7,530.8,110,13.88,964
221.7,530.8,100,13.88,970.4
221.7,530.8,90,13.88,976.2
221.7,530.8,80,13.88,982
221.7,530.8,70,13.88,987.1
221.7,530.8,60,13.88,993.3
221.7,530.8,50,13.88,998.7
