IBP,MW,T,P,Viscosity
221.7,530.8,70,6.98,1710
221.7,530.8,65,6.98,2370
221.7,530.8,60,6.98,3660
221.7,530.8,55,6.98,5890
221.7,530.8,50,6.98,9750
221.7,530.8,45,6.98,16500
221.7,530.8,43,6.98,20300
221.7,530.8,170,10.43,21
221.7,530.8,160,10.43,26.9
221.7,530.8,150,10.43,35.6
221.7,530.8,140,10.43,48.5
221.7,530.8,130,10.43,67.7
221.7,530.8,120,10.43,101
221.7,530.8,110,10.43,167
221.7,530.8,100,10.43,293
221.7,530.8,90,10.43,515
221.7,530.8,80,10.43,936
221.7,530.8,70,10.43,2020
221.7,530.8,65,10.43,3280
221.7,530.8,60,10.43,5220
221.7,530.8,55,10.43,8000
221.7,530.8,50,10.43,12900
221.7,530.8,45.5,10.43,20300
221.7,530.8,175,13.88,19.8
221.7,530.8,170,13.88,22.3
221.7,530.8,160,13.88,28.9
221.7,530.8,150,13.88,38.2
221.7,530.8,140,13.88,52.5
221.7,530.8,130,13.88,73.1
221.7,530.8,120,13.88,110
221.7,530.8,110,13.88,189
221.7,530.8,100,13.88,316
221.7,530.8,90,13.88,560
221.7,530.8,80,13.88,1110
221.7,530.8,70,13.88,2620
221.7,530.8,65,13.88,3910
221.7,530.8,60,13.88,6550
221.7,530.8,55,13.88,10500
221.7,530.8,50,13.88,17000
